factor,atr_period,order_size,dema_length,0_cumulative_return,0_max_drawdown,0_sharpe_ratio,0_annual volatility,0_annualized_return,0_calmar,0_number_of_transactions,1_cumulative_return,1_max_drawdown,1_sharpe_ratio,1_annual volatility,1_annualized_return,1_calmar,1_number_of_transactions,2_cumulative_return,2_max_drawdown,2_sharpe_ratio,2_annual volatility,2_annualized_return,2_calmar,2_number_of_transactions,3_cumulative_return,3_max_drawdown,3_sharpe_ratio,3_annual volatility,3_annualized_return,3_calmar,3_number_of_transactions,4_cumulative_return,4_max_drawdown,4_sharpe_ratio,4_annual volatility,4_annualized_return,4_calmar,4_number_of_transactions
1.5,6,60,576,1.4428,0.2334,1.564,0.105,1.7908,1.645,75,1.325,0.3316,1.0246,0.132,1.5639,0.9534,83,1.4899,0.1408,1.4642,0.1252,1.8844,3.0448,81,0.8694,0.3413,-0.4603,0.1106,0.8006,-0.3489,100,0.9674,0.2625,-0.1504,0.0801,0.9487,-0.1074,86
1.5,6,60,676,1.4403,0.2057,1.5529,0.1053,1.7858,1.8591,73,1.5898,0.2907,1.6645,0.1272,2.0893,1.703,76,1.3678,0.1402,1.19,0.1228,1.645,2.437,82,0.878,0.3337,-0.4315,0.1091,0.8133,-0.33,102,0.8892,0.2902,-0.5868,0.0815,0.8298,-0.3853,85
1.5,6,70,30,1.6282,0.3621,1.5335,0.1493,2.1701,1.479,66,1.1803,0.3779,0.5713,0.1829,1.3014,0.6466,76,1.3955,0.2468,0.9623,0.1832,1.6983,1.6702,75,0.6169,0.5021,-1.2102,0.1526,0.4641,-0.86,95,0.8202,0.3251,-0.6457,0.1154,0.7299,-0.5364,84
1.5,6,70,60,1.6388,0.3405,1.5698,0.1471,2.1926,1.5861,74,1.1813,0.3301,0.5784,0.1771,1.3032,0.7257,85,1.3625,0.2165,0.9193,0.1784,1.635,1.7713,89,0.7031,0.3919,-0.8904,0.1469,0.5713,-0.7803,104,0.9943,0.2642,0.0561,0.1093,0.9909,0.0543,90
1.5,6,70,100,1.6019,0.3909,1.556,0.1408,2.1145,1.3104,80,1.4025,0.2298,1.0238,0.1682,1.7118,1.7517,88,1.1732,0.2789,0.5694,0.1688,1.2891,0.8056,95,0.7134,0.4114,-0.8803,0.143,0.5847,-0.7155,109,1.0618,0.279,0.314,0.1073,1.0998,0.2826,90
1.5,6,70,120,1.4851,0.4142,1.37,0.1349,1.8749,1.0437,81,1.2737,0.303,0.7991,0.1603,1.4689,0.9884,90,1.1645,0.2814,0.5515,0.1675,1.2738,0.7677,95,0.6989,0.3979,-0.9634,0.1406,0.566,-0.7959,109,1.0059,0.2604,0.0984,0.107,1.0094,0.0946,95
1.5,6,70,144,1.5634,0.3799,1.5591,0.1321,2.0343,1.2676,80,1.4786,0.321,1.2155,0.1568,1.8619,1.3886,90,1.2127,0.2733,0.6611,0.1638,1.3587,0.9266,91,0.6808,0.4322,-1.0423,0.1407,0.5428,-0.7934,110,1.0471,0.2539,0.259,0.1039,1.0758,0.2479,95
1.5,6,70,169,1.4215,0.3525,1.2546,0.1316,1.7489,1.0955,83,1.5507,0.3161,1.3412,0.1575,2.0081,1.5626,89,1.2453,0.2815,0.7396,0.1596,1.4172,0.9807,92,0.7432,0.3821,-0.8007,0.1376,0.624,-0.6741,108,0.9881,0.2863,0.0201,0.1036,0.9812,0.017,96
1.5,6,70,252,1.635,0.3404,1.7654,0.1266,2.1845,1.535,74,1.2048,0.4625,0.6565,0.1571,1.3445,0.5214,89,1.2304,0.2576,0.7109,0.158,1.3903,1.0195,87,0.8007,0.3764,-0.582,0.1356,0.7024,-0.4905,105,1.1064,0.179,0.4963,0.0995,1.1741,0.6454,90
1.5,6,70,576,1.521,0.2825,1.5751,0.1213,1.9473,1.5809,75,1.3766,0.4068,1.0356,0.1531,1.6619,0.9115,83,1.5821,0.1644,1.482,0.1453,2.0732,3.0643,81,0.8444,0.3967,-0.4537,0.1286,0.7643,-0.344,100,0.9591,0.3041,-0.1407,0.0931,0.9358,-0.1007,86
