factor,atr_period,order_size,dema_length,0_cumulative_return,0_max_drawdown,0_sharpe_ratio,0_annual volatility,0_annualized_return,0_calmar,0_number_of_transactions,1_cumulative_return,1_max_drawdown,1_sharpe_ratio,1_annual volatility,1_annualized_return,1_calmar,1_number_of_transactions,2_cumulative_return,2_max_drawdown,2_sharpe_ratio,2_annual volatility,2_annualized_return,2_calmar,2_number_of_transactions,3_cumulative_return,3_max_drawdown,3_sharpe_ratio,3_annual volatility,3_annualized_return,3_calmar,3_number_of_transactions,4_cumulative_return,4_max_drawdown,4_sharpe_ratio,4_annual volatility,4_annualized_return,4_calmar,4_number_of_transactions
1.5,10,80,120,1.4732,0.4673,1.232,0.1518,1.851,0.9356,81,1.5619,0.3757,1.2381,0.1803,2.0313,1.3896,87,1.0492,0.3893,0.3011,0.1904,1.0794,0.3444,98,0.593,0.5065,-1.2408,0.1602,0.4358,-0.9179,109,1.2002,0.208,0.743,0.1207,1.3362,1.0083,86
1.5,10,80,144,1.5564,0.4256,1.4047,0.1492,2.0198,1.1514,81,1.7442,0.3799,1.5193,0.1772,2.4209,1.657,87,1.1005,0.3486,0.4074,0.1862,1.1644,0.509,92,0.5684,0.5519,-1.3521,0.1604,0.4074,-0.9188,108,1.2264,0.2283,0.8378,0.1167,1.3827,1.0018,86
1.5,10,80,169,1.4579,0.3981,1.2214,0.1485,1.8206,1.0656,82,1.8435,0.3743,1.6474,0.178,2.6436,1.8317,86,1.1319,0.3468,0.4732,0.181,1.2176,0.5776,93,0.652,0.4776,-1.0255,0.1559,0.5067,-0.7828,106,1.1303,0.2525,0.5402,0.1162,1.2147,0.5815,87
1.5,10,80,252,1.7215,0.3889,1.7411,0.1442,2.371,1.5093,74,1.3698,0.5589,0.9347,0.1777,1.6488,0.695,87,1.1123,0.3521,0.4323,0.1794,1.1843,0.5151,89,0.7817,0.413,-0.5426,0.1533,0.6761,-0.4711,103,1.305,0.2,1.112,0.1102,1.5261,1.4338,81
1.5,10,80,576,1.6134,0.3777,1.6044,0.1379,2.1388,1.3697,75,1.651,0.4428,1.41,0.1729,2.2185,1.2872,81,1.5787,0.1879,1.3464,0.1644,2.0661,2.7543,83,0.8124,0.3824,-0.4833,0.1445,0.7187,-0.4271,98,1.103,0.2742,0.4723,0.1043,1.1685,0.4203,76
1.5,10,80,676,1.5924,0.3328,1.5589,0.1384,2.0946,1.5158,73,2.0536,0.4265,2.0128,0.1662,3.1381,1.8337,75,1.4093,0.1866,1.0646,0.1611,1.725,2.1501,84,0.8233,0.3729,-0.4558,0.1423,0.7341,-0.4068,101,0.9852,0.3004,0.0138,0.1063,0.9766,0.0114,75
1.5,10,85,30,1.6763,0.4151,1.4149,0.1784,2.2729,1.4221,68,1.4904,0.5205,1.0089,0.2194,1.8856,0.9944,76,1.2802,0.3,0.7109,0.2214,1.4807,1.2268,79,0.5667,0.5648,-1.1301,0.1844,0.4055,-0.8629,91,1.0509,0.2523,0.2767,0.1395,1.0821,0.358,73
1.5,10,85,60,1.7279,0.465,1.5051,0.1755,2.3849,1.3285,74,1.4725,0.4511,1.0035,0.2114,1.8497,1.1,86,1.3468,0.2589,0.8182,0.2148,1.6051,1.5868,90,0.6147,0.4813,-0.9859,0.1786,0.4615,-0.8555,101,1.251,0.2265,0.8324,0.1336,1.4271,1.1486,80
1.5,10,85,100,1.6953,0.5348,1.5082,0.1676,2.3138,1.1054,81,1.8248,0.3278,1.4881,0.2007,2.601,2.1305,86,1.1274,0.3373,0.4623,0.2028,1.21,0.6498,97,0.6287,0.5053,-0.9778,0.1727,0.4783,-0.7816,106,1.3542,0.1929,1.1141,0.129,1.6186,1.7422,80
1.5,10,85,120,1.5006,0.5108,1.2332,0.1606,1.906,0.9065,81,1.5983,0.4073,1.2443,0.1911,2.107,1.3651,87,1.0463,0.4139,0.304,0.2019,1.0746,0.3469,98,0.5712,0.5322,-1.2414,0.17,0.4107,-0.9272,109,1.2114,0.2201,0.7483,0.128,1.3561,1.0178,86
1.5,10,85,144,1.591,0.4642,1.4068,0.1578,2.0917,1.1184,81,1.7982,0.4155,1.5272,0.1878,2.541,1.6139,87,1.1008,0.3704,0.4102,0.1974,1.165,0.5112,92,0.546,0.5796,-1.3533,0.1701,0.3822,-0.9289,108,1.2397,0.2423,0.8433,0.1238,1.4066,1.0077,86
1.5,10,85,169,1.484,0.4315,1.2221,0.1571,1.8726,1.0408,82,1.9082,0.4114,1.6567,0.1886,2.7924,1.7762,86,1.1347,0.3693,0.4764,0.1919,1.2224,0.5789,93,0.6319,0.5026,-1.0259,0.1654,0.4822,-0.7894,106,1.1367,0.2681,0.5449,0.1232,1.2257,0.5859,87
1.5,10,85,252,1.7713,0.4251,1.7444,0.1525,2.4807,1.4635,74,1.3908,0.6085,0.9405,0.1884,1.6893,0.681,87,1.1142,0.3749,0.436,0.1902,1.1875,0.5172,89,0.7666,0.4371,-0.5417,0.1627,0.6555,-0.4713,103,1.3249,0.2134,1.1193,0.1169,1.5634,1.4345,81
1.5,10,85,576,1.654,0.4087,1.6076,0.1458,2.225,1.3415,75,1.6957,0.4848,1.4158,0.1833,2.3148,1.2516,81,1.6183,0.1996,1.3531,0.1742,2.149,2.7617,83,0.799,0.405,-0.482,0.1533,0.7,-0.4266,98,1.1082,0.2913,0.478,0.1106,1.1773,0.4246,76
1.5,10,85,676,1.631,0.3592,1.5619,0.1464,2.176,1.4885,73,2.1384,0.4686,2.0199,0.1761,3.3464,1.7748,75,1.4346,0.1981,1.0706,0.1708,1.7745,2.1587,84,0.8105,0.395,-0.4545,0.1509,0.7161,-0.4061,101,0.9827,0.3176,0.0182,0.1127,0.9727,0.0151,75
1.5,10,90,30,1.7167,0.452,1.4173,0.1882,2.3603,1.3803,68,1.5159,0.5604,1.0144,0.2318,1.9371,0.9811,76,1.29,0.3178,0.7152,0.2339,1.4988,1.2313,78,0.5451,0.5898,-1.1303,0.195,0.3812,-0.8736,91,1.0511,0.2665,0.2802,0.1475,1.0823,0.3628,73
1.5,10,90,60,1.7729,0.5078,1.508,0.1851,2.4845,1.2855,74,1.4971,0.4846,1.0086,0.2234,1.899,1.0871,86,1.3616,0.275,0.8224,0.2269,1.6331,1.5869,90,0.5943,0.5032,-0.9858,0.1888,0.4374,-0.8651,101,1.2646,0.2407,0.8376,0.1412,1.4518,1.1493,80
1.5,10,90,100,1.738,0.5859,1.5109,0.1768,2.4071,1.0659,81,1.8808,0.354,1.4951,0.212,2.7289,2.0938,86,1.1285,0.3567,0.4653,0.2143,1.2117,0.6537,97,0.6087,0.5292,-0.978,0.1826,0.4544,-0.7892,106,1.3756,0.2041,1.12,0.1363,1.6593,1.7494,80
1.5,10,90,120,1.5275,0.5562,1.2342,0.1693,1.9607,0.8786,81,1.6346,0.4399,1.2501,0.2018,2.1837,1.3412,87,1.0428,0.4383,0.3067,0.2134,1.0688,0.3491,98,0.55,0.5572,-1.2422,0.1797,0.3867,-0.9369,109,1.2225,0.232,0.7532,0.1352,1.3758,1.0269,86
1.5,10,90,144,1.6255,0.5044,1.4085,0.1664,2.1642,1.0868,81,1.8529,0.4526,1.5347,0.1983,2.665,1.5722,87,1.1005,0.3922,0.4128,0.2086,1.1644,0.5133,92,0.5242,0.6065,-1.3547,0.1799,0.3583,-0.9395,108,1.2528,0.2562,0.8484,0.1308,1.4304,1.0134,86
1.5,10,90,169,1.5096,0.4658,1.2224,0.1657,1.9243,1.0168,82,1.9742,0.4505,1.6656,0.1992,2.9475,1.7225,86,1.1368,0.3918,0.4794,0.2027,1.2261,0.58,93,0.6122,0.5269,-1.0265,0.1748,0.4585,-0.7964,106,1.1429,0.2836,0.5493,0.1302,1.2363,0.59,87
1.5,10,90,252,1.8214,0.4629,1.7473,0.1608,2.5932,1.4195,74,1.4115,0.66,0.9461,0.1991,1.7293,0.6674,87,1.1155,0.3978,0.4395,0.201,1.1898,0.5191,89,0.7515,0.4611,-0.5409,0.172,0.635,-0.4718,103,1.345,0.2269,1.1262,0.1236,1.6012,1.4347,81
1.5,10,90,576,1.6948,0.4406,1.6105,0.1537,2.3127,1.314,75,1.7408,0.5287,1.4212,0.1936,2.4133,1.2171,81,1.6582,0.2114,1.3596,0.1841,2.2338,2.7686,83,0.7856,0.4274,-0.481,0.162,0.6814,-0.4263,98,1.1133,0.3083,0.4833,0.1169,1.1858,0.4285,76
1.5,10,90,676,1.6698,0.3862,1.5645,0.1543,2.2587,1.4617,73,2.2255,0.513,2.0267,0.186,3.5658,1.7182,75,1.4597,0.2096,1.0763,0.1805,1.8242,2.1669,84,0.7976,0.417,-0.4534,0.1595,0.6981,-0.4056,101,0.9801,0.3346,0.0222,0.1191,0.9686,0.0185,75
1.5,10,100,30,0.6195,0.8151,-0.6836,0.2234,0.4672,-0.4381,3,0.0455,1.152,-0.0852,1.0649,0.0074,-0.1842,9,0.6532,1.0864,-0.2597,0.3045,0.5082,-0.1702,5,1.8079,0.2527,1.9723,0.1367,2.5627,2.4951,3,0.8498,0.4474,-0.2328,0.1726,0.7723,-0.2102,1
1.5,10,100,60,0.504,0.7198,-1.0236,0.2315,0.3366,-0.7698,16,0.0641,1.1344,-0.4119,0.8705,0.0127,-0.7391,25,0.3871,1.1846,-0.9795,0.3067,0.2213,-0.5931,27,1.4334,0.4717,1.0025,0.1906,1.7722,0.9475,11,0.5939,0.5942,-1.0081,0.186,0.4371,-0.7382,15
1.5,10,100,100,0.4403,0.7675,-1.0823,0.2585,0.2716,-0.8525,26,0.111,1.1167,-0.9152,0.5933,0.0304,-1.137,31,0.6155,1.0737,-0.4554,0.274,0.4624,-0.2717,41,1.7765,0.4556,1.3895,0.21,2.4924,1.4978,23,0.5691,0.5299,-1.0828,0.1889,0.4085,-0.9027,23
1.5,10,100,120,0.5144,0.6288,-0.9041,0.2448,0.3477,-0.823,24,0.2376,1.0552,-1.119,0.3938,0.1019,-0.9765,33,0.6927,1.0778,-0.2832,0.2703,0.558,-0.1661,39,1.8734,0.4412,1.4891,0.2118,2.712,1.672,27,0.6171,0.5228,-0.8949,0.1894,0.4646,-0.7585,25
1.5,10,100,144,0.4845,0.6538,-0.9884,0.2481,0.3161,-0.877,26,0.3254,0.9839,-0.8014,0.3884,0.1679,-0.7398,35,0.6697,1.1577,-0.3286,0.2726,0.5287,-0.1809,33,1.7148,0.4186,1.3146,0.2108,2.3564,1.5477,33,0.6855,0.5844,-0.8597,0.1593,0.5489,-0.5482,25
1.5,10,100,169,0.3153,0.7676,-1.0413,0.3487,0.1597,-1.1063,27,0.3311,0.981,-0.7675,0.3918,0.1727,-0.7168,35,1.5058,0.4309,1.0568,0.2083,1.9165,1.1944,35,1.5018,0.3825,1.0499,0.2091,1.9084,1.342,39,0.6387,0.6004,-0.9681,0.1689,0.4906,-0.6371,23
1.5,10,100,252,0.816,0.4908,-0.2354,0.1988,0.7239,-0.223,24,0.3049,0.9692,-0.786,0.4082,0.1514,-0.7742,33,0.9199,0.8288,0.122,0.2466,0.8758,0.0849,31,1.0544,0.4296,0.3292,0.212,1.0879,0.3799,51,0.7456,0.6321,-0.7261,0.1458,0.6274,-0.3917,23
1.5,10,100,576,0.7919,0.9212,-0.065,0.276,0.6902,-0.0456,24,0.0574,1.4522,-2.552,16.292,0.0107,-66.9493,19,1.246,0.2399,0.7263,0.1663,1.4183,1.1774,43,1.0553,0.2987,0.3039,0.1732,1.0893,0.412,72,0.5485,0.7095,-1.0165,0.2083,0.3853,-0.6981,9
1.5,10,100,676,0.8244,0.8514,-0.0486,0.2566,0.7358,-0.0343,24,0.239,1.1238,-0.7896,4.3398,0.1028,-7.1302,17,1.2447,0.2446,0.7237,0.1663,1.416,1.1507,43,0.9824,0.3051,0.1184,0.1677,0.9722,0.1522,78,0.5941,0.7525,-0.7294,0.2289,0.4374,-0.5191,9
1.5,12,50,30,1.1835,0.2461,0.719,0.1136,1.3069,0.7762,71,1.4247,0.2415,1.2667,0.1311,1.7551,1.6077,72,1.1925,0.1758,0.6826,0.1323,1.3228,1.2011,78,0.7254,0.3709,-1.1718,0.1097,0.6004,-0.8107,91,0.9837,0.1792,-0.0524,0.083,0.9743,-0.0568,80
1.5,12,50,60,1.2749,0.1953,1.0269,0.1095,1.471,1.3458,76,1.4128,0.2083,1.2743,0.1264,1.7319,1.8077,83,1.2234,0.1514,0.7797,0.1283,1.3777,1.5447,90,0.7611,0.3139,-1.0247,0.1063,0.648,-0.8113,101,1.0628,0.1629,0.353,0.0794,1.1016,0.4026,85
1.5,12,50,100,1.2591,0.2199,1.0095,0.105,1.4423,1.1268,83,1.5231,0.1695,1.5886,0.1205,1.9516,2.6412,82,1.0996,0.2001,0.4322,0.121,1.1629,0.6111,97,0.767,0.3287,-1.0361,0.1027,0.656,-0.7573,106,1.1687,0.1308,0.8815,0.0774,1.2809,1.2204,83
1.5,12,50,120,1.1922,0.2235,0.8075,0.1012,1.3223,0.8552,82,1.4084,0.2105,1.3612,0.115,1.7233,1.7388,83,1.0521,0.2415,0.276,0.1205,1.0841,0.3221,98,0.7288,0.3419,-1.2785,0.1007,0.6049,-0.8808,109,1.1089,0.1392,0.5957,0.0767,1.1785,0.7681,90
1.5,12,50,144,1.2331,0.2177,0.9615,0.0996,1.3952,1.029,82,1.5074,0.2024,1.6363,0.1131,1.9198,2.1385,82,1.0853,0.2181,0.3886,0.118,1.139,0.4916,93,0.7103,0.3731,-1.3869,0.1008,0.5806,-0.8761,108,1.1217,0.1407,0.6761,0.0742,1.2001,0.8339,90
1.5,12,50,169,1.1846,0.2852,0.7916,0.0992,1.3089,0.6439,84,1.5576,0.1935,1.755,0.1135,2.0223,2.4064,82,1.1031,0.2145,0.4525,0.1147,1.1688,0.5658,94,0.7727,0.3202,-1.0655,0.098,0.6638,-0.7624,106,1.0662,0.1752,0.3845,0.0738,1.1071,0.3789,91
1.5,12,50,252,1.3127,0.1936,1.2614,0.0966,1.5409,1.4717,76,1.2964,0.3059,1.0667,0.113,1.5107,0.9219,83,1.0897,0.2175,0.408,0.1138,1.1462,0.499,88,0.8645,0.2683,-0.5892,0.0964,0.7935,-0.4948,103,1.1558,0.1158,0.8862,0.0703,1.2585,1.2577,85
1.5,12,50,576,1.2371,0.3135,1.0323,0.0926,1.4023,0.713,77,1.4582,0.2343,1.5443,0.1101,1.8211,1.6972,77,1.3509,0.1173,1.3034,0.1043,1.6128,2.709,83,0.8851,0.2471,-0.5274,0.0909,0.8237,-0.4535,98,1.0404,0.1775,0.2515,0.0666,1.065,0.2208,80
1.5,12,50,676,1.2474,0.2726,1.0706,0.0926,1.421,0.8504,75,1.6707,0.2209,2.1406,0.1062,2.2607,2.4059,71,1.2578,0.1169,1.0263,0.1022,1.4398,2.0974,84,0.8922,0.2407,-0.5002,0.0895,0.8342,-0.4351,101,0.9851,0.2017,-0.095,0.0678,0.9764,-0.0746,79
1.5,12,60,30,1.2117,0.307,0.7244,0.1354,1.3568,0.7473,71,1.5155,0.3047,1.2844,0.1565,1.9363,1.5424,72,1.2233,0.2113,0.6956,0.158,1.3775,1.2167,78,0.6751,0.4331,-1.1678,0.1312,0.5355,-0.8274,91,0.9766,0.2153,-0.0401,0.0993,0.9631,-0.0432,79
1.5,12,60,60,1.3257,0.2459,1.0349,0.1304,1.5653,1.2839,76,1.501,0.2618,1.2916,0.1509,1.9069,1.7403,82,1.2618,0.1833,0.7926,0.1532,1.4472,1.5499,90,0.7155,0.3674,-1.02,0.1271,0.5874,-0.8251,101,1.0721,0.1959,0.3679,0.095,1.117,0.417,85
1.5,12,60,100,1.3066,0.2784,1.017,0.125,1.5296,1.0679,83,1.6448,0.2134,1.6093,0.1439,2.2052,2.5368,82,1.1111,0.2396,0.4427,0.1446,1.1822,0.6246,97,0.7223,0.386,-1.0321,0.1229,0.5963,-0.7683,106,1.202,0.1565,0.8999,0.0926,1.3394,1.2448,83
1.5,12,60,120,1.2239,0.2803,0.8125,0.1205,1.3786,0.817,82,1.4975,0.265,1.3797,0.1372,1.8997,1.6699,83,1.0538,0.291,0.2858,0.144,1.0868,0.3308,98,0.6795,0.4015,-1.2756,0.1205,0.5411,-0.8948,109,1.1286,0.1658,0.6126,0.0917,1.2119,0.7924,90
1.5,12,60,144,1.2748,0.2739,0.9679,0.1186,1.4709,0.9804,82,1.6259,0.2593,1.6583,0.1349,2.1652,2.0184,82,1.094,0.2623,0.3985,0.1409,1.1535,0.5005,93,0.6586,0.4379,-1.3851,0.1205,0.5149,-0.8916,108,1.1445,0.169,0.6935,0.0887,1.2391,0.8513,90
1.5,12,60,169,1.2145,0.356,0.7955,0.1181,1.3618,0.6173,84,1.6923,0.2504,1.7797,0.1354,2.3074,2.2514,82,1.1162,0.259,0.4634,0.137,1.191,0.573,94,0.7291,0.3772,-1.0618,0.1172,0.6053,-0.7713,106,1.0768,0.2096,0.4005,0.0883,1.1247,0.3944,91
1.5,12,60,252,1.3744,0.2418,1.2697,0.115,1.6577,1.4119,76,1.3567,0.3883,1.0842,0.135,1.6239,0.8817,83,1.1005,0.2627,0.4199,0.1359,1.1643,0.5077,88,0.8347,0.3199,-0.5827,0.1152,0.7503,-0.4908,103,1.1872,0.1394,0.9074,0.084,1.3133,1.2791,85
1.5,12,60,576,1.2807,0.3886,1.0394,0.1102,1.4817,0.6894,77,1.5616,0.3008,1.5619,0.1315,2.0307,1.5964,77,1.4266,0.1408,1.3222,0.1245,1.7589,2.7332,83,0.8592,0.2949,-0.5199,0.1086,0.7858,-0.4478,98,1.0466,0.2125,0.2699,0.0796,1.0749,0.2365,80
1.5,12,60,676,1.2936,0.3366,1.0782,0.1102,1.5055,0.8256,75,1.8388,0.2856,2.1619,0.1266,2.6328,2.2418,71,1.3097,0.1402,1.0436,0.122,1.5355,2.1241,84,0.8676,0.2874,-0.4927,0.107,0.798,-0.4289,101,0.9799,0.2398,-0.0788,0.081,0.9683,-0.0623,79
1.5,12,70,30,1.2366,0.3717,0.7273,0.157,1.4015,0.7183,71,1.6076,0.3732,1.2998,0.1817,2.1265,1.4797,72,1.2511,0.2468,0.7066,0.1835,1.4276,1.229,78,0.6267,0.4916,-1.1661,0.1526,0.4759,-0.8465,91,0.9684,0.2515,-0.0308,0.1154,0.9502,-0.0331,79
1.5,12,70,60,1.3745,0.3001,1.0404,0.1511,1.6579,1.2249,76,1.5904,0.3194,1.3065,0.1751,2.0905,1.6752,82,1.2977,0.2154,0.8034,0.178,1.5131,1.5522,90,0.6711,0.4179,-1.0177,0.1478,0.5305,-0.8417,102,1.0803,0.2291,0.3795,0.1104,1.1306,0.4277,85
1.5,12,70,100,1.3521,0.3419,1.0218,0.1448,1.615,1.0119,83,1.772,0.2608,1.6273,0.167,2.4824,2.4361,82,1.1196,0.2789,0.4511,0.168,1.1966,0.6352,97,0.6787,0.4405,-1.0305,0.1429,0.5401,-0.7817,106,1.2351,0.182,0.9149,0.1076,1.3984,1.2646,83
1.5,12,70,120,1.253,0.3411,0.815,0.1396,1.4311,0.7797,82,1.5885,0.324,1.3955,0.1592,2.0865,1.6029,83,1.0526,0.3404,0.2936,0.1673,1.0849,0.3374,98,0.632,0.4584,-1.2752,0.1401,0.4823,-0.9111,109,1.1476,0.1921,0.6262,0.1066,1.2444,0.8126,90
1.5,12,70,144,1.3144,0.3346,0.9716,0.1374,1.5441,0.9331,82,1.7502,0.3224,1.6776,0.1565,2.434,1.9046,82,1.0999,0.3065,0.4062,0.1636,1.1634,0.5071,93,0.6093,0.4994,-1.3858,0.1402,0.455,-0.9097,108,1.1667,0.1974,0.7074,0.1031,1.2774,0.8644,90
1.5,12,70,169,1.2417,0.4314,0.7967,0.1368,1.4107,0.5909,84,1.8355,0.3145,1.8018,0.1572,2.6252,2.1056,82,1.1268,0.3039,0.472,0.1591,1.2089,0.5778,94,0.6865,0.4318,-1.0607,0.1362,0.55,-0.7827,106,1.0865,0.2439,0.413,0.1026,1.1408,0.4066,91
1.5,12,70,252,1.4353,0.294,1.2751,0.1332,1.7759,1.351,76,1.4168,0.4786,1.0992,0.1568,1.7397,0.8422,83,1.1088,0.3083,0.4294,0.1578,1.1784,0.5139,88,0.8043,0.3706,-0.5788,0.134,0.7074,-0.4893,103,1.2187,0.1631,0.9249,0.0976,1.3691,1.2953,85
1.5,12,70,576,1.3227,0.4679,1.0437,0.1276,1.5596,0.6655,77,1.6688,0.3749,1.5768,0.1527,2.2565,1.5012,77,1.504,0.1644,1.3383,0.1446,1.9129,2.7525,83,0.8327,0.342,-0.5153,0.1262,0.7475,-0.4447,98,1.052,0.2473,0.2844,0.0925,1.0839,0.2488,80
1.5,12,70,676,1.3383,0.4038,1.0829,0.1276,1.5891,0.8004,75,2.0195,0.3585,2.1802,0.1469,3.0556,2.089,71,1.3615,0.1634,1.0583,0.1417,1.633,2.1458,84,0.8423,0.3335,-0.488,0.1243,0.7613,-0.4255,101,0.974,0.2771,-0.0663,0.0942,0.9591,-0.0527,79
1.5,12,75,30,1.2479,0.4056,0.7282,0.1677,1.4218,0.704,71,1.6539,0.4093,1.3068,0.1942,2.2248,1.4495,72,1.2638,0.2645,0.7116,0.1962,1.4507,1.2343,78,0.6033,0.5194,-1.1658,0.1632,0.4479,-0.8567,91,0.9638,0.2695,-0.027,0.1234,0.9431,-0.0289,79
1.5,12,75,60,1.3981,0.3287,1.0425,0.1613,1.7033,1.1968,76,1.6354,0.3497,1.3132,0.1872,2.1852,1.6438,82,1.3146,0.2316,0.8083,0.1903,1.5445,1.5529,90,0.6493,0.442,-1.0171,0.1581,0.5034,-0.8507,101,1.084,0.2457,0.3845,0.118,1.1367,0.4321,85
1.5,12,75,100,1.374,0.3756,1.0236,0.1546,1.6569,0.9852,83,1.8377,0.2859,1.6357,0.1784,2.6302,2.3876,82,1.1227,0.2985,0.4547,0.1796,1.202,0.6398,97,0.6573,0.4667,-1.0302,0.1529,0.5133,-0.7891,106,1.2515,0.1947,0.9215,0.115,1.4281,1.2734,83
1.5,12,75,120,1.2666,0.373,0.8155,0.149,1.4558,0.7618,82,1.6347,0.3552,1.4028,0.1701,2.1837,1.5705,83,1.051,0.3651,0.2969,0.1789,1.0823,0.3401,98,0.6091,0.4858,-1.2756,0.1498,0.4548,-0.92,109,1.1568,0.2051,0.6321,0.114,1.2602,0.8216,90
1.5,12,75,144,1.3333,0.3665,0.9727,0.1467,1.5797,0.9103,82,1.8144,0.3565,1.6866,0.1673,2.5776,1.8502,82,1.1018,0.3286,0.4095,0.1749,1.1665,0.5098,93,0.5855,0.5289,-1.3867,0.15,0.4271,-0.9195,108,1.1775,0.2116,0.7135,0.1103,1.2963,0.8699,90
1.5,12,75,169,1.2543,0.4708,0.7967,0.1461,1.4335,0.578,84,1.9102,0.3495,1.8121,0.168,2.7972,2.0364,82,1.1311,0.3263,0.4757,0.17,1.2162,0.5796,94,0.6656,0.4581,-1.0608,0.1457,0.5237,-0.7891,106,1.091,0.2609,0.4184,0.1098,1.1483,0.4118,91
1.5,12,75,252,1.4654,0.3227,1.2771,0.1422,1.8355,1.3158,76,1.4467,0.5268,1.106,0.1677,1.7984,0.823,83,1.112,0.3312,0.4335,0.1687,1.1838,0.5164,88,0.7889,0.3956,-0.5775,0.1433,0.686,-0.4893,103,1.2345,0.175,0.9327,0.1044,1.3973,1.302,85
1.5,12,75,576,1.343,0.5092,1.045,0.1362,1.5979,0.6537,77,1.7237,0.415,1.5836,0.1632,2.3757,1.4559,77,1.5432,0.1761,1.3457,0.1545,1.9928,2.7608,83,0.8192,0.3653,-0.5136,0.135,0.7284,-0.4439,98,1.0545,0.2647,0.2907,0.0989,1.0879,0.2541,80
1.5,12,75,676,1.3601,0.4385,1.0845,0.1362,1.6303,0.7879,75,2.1147,0.3983,2.1886,0.157,3.2878,2.0169,71,1.3873,0.175,1.0649,0.1515,1.6825,2.1555,84,0.8295,0.3563,-0.4864,0.133,0.7429,-0.4244,101,0.9708,0.2955,-0.0611,0.1007,0.9541,-0.0487,79
1.5,12,80,30,1.2583,0.4404,0.7288,0.1783,1.4407,0.6899,71,1.7004,0.4468,1.3136,0.2066,2.325,1.4203,72,1.2757,0.2823,0.7163,0.2088,1.4725,1.2393,78,0.5804,0.5464,-1.1658,0.1738,0.4212,-0.8674,91,0.959,0.2876,-0.0236,0.1314,0.9356,-0.0252,79
1.5,12,80,60,1.4211,0.3581,1.0443,0.1715,1.7481,1.1697,76,1.6805,0.381,1.3197,0.1992,2.2818,1.6133,82,1.3307,0.2478,0.8129,0.2025,1.5747,1.5533,91,0.6279,0.4654,-1.0167,0.1684,0.4773,-0.8602,101,1.0874,0.2623,0.3891,0.1256,1.1423,0.436,85
1.5,12,80,100,1.3953,0.4105,1.0249,0.1643,1.6979,0.9595,83,1.9047,0.3118,1.6437,0.1899,2.7844,2.3403,82,1.1252,0.3179,0.4581,0.1912,1.2061,0.6441,97,0.6362,0.4921,-1.0303,0.1628,0.4874,-0.797,106,1.2679,0.2074,0.9277,0.1225,1.4578,1.2816,83
1.5,12,80,120,1.2794,0.4059,0.8157,0.1584,1.4794,0.7443,82,1.6813,0.3875,1.4096,0.1809,2.2834,1.5389,83,1.0487,0.3897,0.3,0.1904,1.0785,0.3427,98,0.5866,0.5124,-1.2763,0.1596,0.4284,-0.9294,110,1.1657,0.218,0.6376,0.1214,1.2757,0.8302,90
1.5,12,80,144,1.3517,0.3997,0.9735,0.1559,1.6144,0.8881,82,1.8801,0.3924,1.6952,0.1779,2.7274,1.7975,82,1.1029,0.3506,0.4125,0.1861,1.1685,0.5122,93,0.5623,0.5575,-1.388,0.1597,0.4006,-0.9298,108,1.1882,0.2258,0.7192,0.1174,1.315,0.8749,90
1.5,12,80,169,1.2662,0.5113,0.7963,0.1553,1.4552,0.5654,84,1.9872,0.3866,1.8221,0.1787,2.9784,1.9696,82,1.1347,0.3489,0.4791,0.1809,1.2224,0.5811,94,0.645,0.4839,-1.0612,0.1552,0.4981,-0.7959,106,1.0952,0.2778,0.4233,0.1169,1.1554,0.4166,91
1.5,12,80,252,1.4952,0.3526,1.2787,0.1511,1.8951,1.2817,76,1.4765,0.5772,1.1124,0.1784,1.8576,0.8042,83,1.1147,0.3541,0.4374,0.1796,1.1883,0.5187,88,0.7735,0.4203,-0.5766,0.1526,0.6648,-0.4896,103,1.2502,0.1869,0.94,0.1112,1.4257,1.3081,85
1.5,12,80,576,1.3629,0.5515,1.046,0.1447,1.6356,0.6421,77,1.7794,0.4573,1.59,0.1737,2.499,1.412,77,1.5828,0.1879,1.3527,0.1644,2.0747,2.7686,83,0.8056,0.3883,-0.5123,0.1437,0.7093,-0.4434,98,1.0568,0.282,0.2965,0.1053,1.0918,0.259,80
1.5,12,80,676,1.3814,0.474,1.0857,0.1448,1.6711,0.7755,75,2.2133,0.4404,2.1966,0.167,3.5346,1.9475,71,1.413,0.1866,1.0712,0.1612,1.7322,2.1645,84,0.8165,0.379,-0.4851,0.1416,0.7245,-0.4238,101,0.9675,0.3137,-0.0563,0.1072,0.9489,-0.045,79
1.5,12,85,30,1.2678,0.4764,0.7291,0.1889,1.4581,0.6759,71,1.747,0.4857,1.32,0.219,2.427,1.3919,72,1.2867,0.3,0.7208,0.2214,1.4928,1.2439,79,0.558,0.5724,-1.166,0.1844,0.3957,-0.8785,91,0.9539,0.3056,-0.0205,0.1394,0.9277,-0.0218,79
1.5,12,85,60,1.4435,0.3885,1.0457,0.1817,1.7921,1.1435,76,1.7257,0.4133,1.3258,0.2111,2.3801,1.5836,83,1.3461,0.2641,0.8172,0.2147,1.6038,1.5537,90,0.6069,0.488,-1.0167,0.1786,0.4522,-0.8701,101,1.0905,0.2789,0.3933,0.1333,1.1475,0.4396,85
