time,open,high,low,close,volume
2019-01-01 00:00:00,3752.22000000,3776.85000000,3630.33000000,3687.47000000,6179.61328200
2019-01-01 04:00:00,3687.47000000,3707.50000000,3657.70000000,3702.90000000,4396.68436900
2019-01-01 08:00:00,3701.23000000,3713.00000000,3675.04000000,3693.13000000,2991.92353400
2019-01-01 12:00:00,3692.32000000,3726.64000000,3685.94000000,3713.83000000,3373.76039900
2019-01-01 16:00:00,3714.19000000,3732.00000000,3696.14000000,3707.54000000,2977.75898300
2019-01-01 20:00:00,3707.56000000,3756.94000000,3666.01000000,3682.61000000,3720.11856900
2019-01-02 00:00:00,3683.00000000,3701.68000000,3642.00000000,3696.73000000,3248.11597500
2019-01-02 04:00:00,3696.71000000,3810.16000000,3675.67000000,3797.14000000,7430.00957300
2019-01-02 08:00:00,3796.45000000,3810.00000000,3763.75000000,3779.98000000,4496.50709600
2019-01-02 12:00:00,3780.00000000,3788.31000000,3750.45000000,3771.08000000,3419.89052000
2019-01-02 16:00:00,3772.64000000,3803.68000000,3770.00000000,3787.97000000,6213.28532000
2019-01-02 20:00:00,3788.81000000,3839.63000000,3778.23000000,3801.28000000,7454.87000900
2019-01-03 00:00:00,3802.61000000,3865.72000000,3795.00000000,3824.98000000,6987.58217200
2019-01-03 04:00:00,3824.98000000,3882.14000000,3812.34000000,3858.56000000,6584.32825200
2019-01-03 08:00:00,3857.57000000,3862.74000000,3821.14000000,3841.83000000,4473.69124300
2019-01-03 12:00:00,3841.83000000,3850.00000000,3805.00000000,3828.88000000,3225.22703300
2019-01-03 16:00:00,3828.88000000,3832.83000000,3783.00000000,3804.00000000,6171.74682400
2019-01-03 20:00:00,3803.31000000,3823.00000000,3785.32000000,3806.70000000,4869.26546300
2019-01-04 00:00:00,3807.37000000,3807.75000000,3730.00000000,3756.00000000,7090.39438100
2019-01-04 04:00:00,3756.00000000,3782.69000000,3752.37000000,3766.78000000,3576.62341500
2019-01-04 08:00:00,3767.20000000,3787.65000000,3730.00000000,3780.04000000,3608.72785400
2019-01-04 12:00:00,3780.04000000,3800.00000000,3761.94000000,3783.28000000,4829.92437500
2019-01-04 16:00:00,3783.28000000,3800.00000000,3752.00000000,3757.55000000,4621.51941300
2019-01-04 20:00:00,3754.05000000,3765.00000000,3703.57000000,3725.28000000,7100.93271400
2019-01-05 00:00:00,3725.30000000,3754.00000000,3717.30000000,3739.53000000,3825.82241800
2019-01-05 04:00:00,3739.74000000,3823.64000000,3733.46000000,3792.01000000,5532.62789700
2019-01-05 08:00:00,3790.09000000,3838.70000000,3783.25000000,3815.00000000,7129.55749000
2019-01-05 12:00:00,3815.35000000,3840.99000000,3780.13000000,3785.15000000,5673.32128300
2019-01-05 16:00:00,3784.37000000,3812.63000000,3770.00000000,3801.26000000,3088.81692400
2019-01-05 20:00:00,3801.03000000,3814.00000000,3778.01000000,3785.58000000,5490.82131200
2019-01-06 00:00:00,3785.58000000,3820.00000000,3775.00000000,3810.98000000,4696.21839500
2019-01-06 04:00:00,3810.89000000,3812.50000000,3751.00000000,3770.96000000,4411.93234700
2019-01-06 08:00:00,3771.12000000,3792.12000000,3740.00000000,3771.15000000,4235.53057500
2019-01-06 12:00:00,3771.70000000,3783.55000000,3760.00000000,3767.94000000,2222.23343000
2019-01-06 16:00:00,3768.11000000,3820.82000000,3761.81000000,3814.24000000,4988.50245400
2019-01-06 20:00:00,3814.23000000,3824.99000000,3785.00000000,3806.82000000,4649.79168600
2019-01-07 00:00:00,3806.91000000,4027.71000000,3800.31000000,4002.46000000,14209.30533900
2019-01-07 04:00:00,4001.41000000,4015.00000000,3953.53000000,3987.60000000,6248.44322500
2019-01-07 08:00:00,3987.62000000,4017.90000000,3970.03000000,3992.26000000,5364.75229300
2019-01-07 12:00:00,3991.69000000,4001.77000000,3980.08000000,4001.00000000,3600.31034800
2019-01-07 16:00:00,4001.02000000,4015.00000000,3921.53000000,3976.76000000,9056.59007900
2019-01-07 20:00:00,3976.78000000,4000.00000000,3955.02000000,3969.91000000,4169.32560400
2019-01-08 00:00:00,3969.91000000,3994.98000000,3941.00000000,3988.52000000,5702.31115500
2019-01-08 04:00:00,3987.71000000,3988.74000000,3951.55000000,3975.45000000,3976.55678500
2019-01-08 08:00:00,3976.76000000,3989.00000000,3922.00000000,3945.61000000,5226.04290000
2019-01-08 12:00:00,3944.94000000,3968.42000000,3936.26000000,3953.60000000,4545.52696400
2019-01-08 16:00:00,3953.14000000,4018.00000000,3948.75000000,4001.59000000,6480.85824700
2019-01-08 20:00:00,4002.32000000,4069.80000000,3981.00000000,4000.48000000,11011.46396000
2019-01-09 00:00:00,4002.04000000,4007.84000000,3938.82000000,3976.12000000,7059.34609500
2019-01-09 04:00:00,3976.11000000,3985.80000000,3903.00000000,3955.13000000,4578.18495600
2019-01-09 08:00:00,3955.45000000,3999.89000000,3930.04000000,3981.03000000,6532.62685200
2019-01-09 12:00:00,3981.98000000,4002.00000000,3978.00000000,3987.88000000,3330.88392700
2019-01-09 16:00:00,3987.76000000,4006.81000000,3971.11000000,3986.44000000,4600.09760700
2019-01-09 20:00:00,3985.52000000,3996.30000000,3941.00000000,3958.28000000,6595.81486900
2019-01-10 00:00:00,3957.59000000,3983.66000000,3952.44000000,3978.34000000,3951.91592600
2019-01-10 04:00:00,3978.98000000,3990.00000000,3955.00000000,3966.65000000,3978.10033000
2019-01-10 08:00:00,3966.06000000,3993.46000000,3963.70000000,3978.94000000,3908.28596500
2019-01-10 12:00:00,3978.96000000,3996.01000000,3731.01000000,3777.02000000,17765.73586500
2019-01-10 16:00:00,3777.54000000,3783.32000000,3715.65000000,3739.99000000,10117.84685600
2019-01-10 20:00:00,3738.01000000,3750.00000000,3707.07000000,3726.39000000,7258.93369000
2019-01-11 00:00:00,3726.79000000,3726.79000000,3540.00000000,3596.12000000,15136.60948200
2019-01-11 04:00:00,3596.73000000,3609.21000000,3574.64000000,3585.88000000,5214.81665200
2019-01-11 08:00:00,3585.88000000,3617.04000000,3557.52000000,3583.09000000,6000.03494500
2019-01-11 12:00:00,3583.05000000,3597.00000000,3546.36000000,3595.47000000,5760.31883200
2019-01-11 16:00:00,3595.47000000,3635.00000000,3562.00000000,3594.00000000,6741.01749900
2019-01-11 20:00:00,3593.57000000,3616.13000000,3569.16000000,3585.51000000,5803.91684400
2019-01-12 00:00:00,3586.49000000,3620.24000000,3582.50000000,3606.15000000,4500.47238800
2019-01-12 04:00:00,3606.36000000,3658.00000000,3465.00000000,3601.31000000,9532.89422500
2019-01-12 08:00:00,3601.31000000,3618.19000000,3533.00000000,3601.15000000,5242.89609100
2019-01-12 12:00:00,3600.64000000,3601.14000000,3567.31000000,3582.38000000,2608.47201700
2019-01-12 16:00:00,3582.09000000,3585.71000000,3559.50000000,3571.16000000,2577.73558600
2019-01-12 20:00:00,3571.89000000,3605.00000000,3530.00000000,3591.11000000,4979.26681500
2019-01-13 00:00:00,3591.11000000,3600.00000000,3572.19000000,3593.74000000,3162.36943700
2019-01-13 04:00:00,3592.79000000,3612.39000000,3563.01000000,3583.13000000,3429.18840800
2019-01-13 08:00:00,3584.10000000,3595.00000000,3564.41000000,3593.24000000,2812.55360800
2019-01-13 12:00:00,3593.27000000,3598.88000000,3575.84000000,3583.68000000,1758.08191600
2019-01-13 16:00:00,3583.68000000,3590.02000000,3571.70000000,3589.38000000,1759.02157400
2019-01-13 20:00:00,3589.28000000,3611.10000000,3560.26000000,3575.53000000,3572.38422800
2019-01-14 00:00:00,3576.32000000,3576.33000000,3441.30000000,3465.82000000,12738.29285700
2019-01-14 04:00:00,3465.03000000,3497.98000000,3454.00000000,3476.81000000,3745.42327100
2019-01-14 08:00:00,3477.56000000,3499.90000000,3467.02000000,3489.45000000,3411.76278700
2019-01-14 12:00:00,3489.43000000,3527.83000000,3487.52000000,3511.83000000,3891.67660600
2019-01-14 16:00:00,3511.73000000,3540.00000000,3485.02000000,3488.28000000,4601.26033600
2019-01-14 20:00:00,3488.80000000,3647.00000000,3487.00000000,3630.98000000,10357.49360900
2019-01-15 00:00:00,3630.98000000,3671.87000000,3611.00000000,3638.08000000,8262.04713200
2019-01-15 04:00:00,3638.74000000,3665.00000000,3590.00000000,3626.09000000,4710.97074500
2019-01-15 08:00:00,3626.08000000,3648.42000000,3623.00000000,3629.38000000,3259.29669200
2019-01-15 12:00:00,3629.38000000,3631.86000000,3610.12000000,3629.09000000,4103.12774400
2019-01-15 16:00:00,3629.09000000,3630.43000000,3578.07000000,3611.39000000,6320.08170800
2019-01-15 20:00:00,3612.10000000,3640.77000000,3580.00000000,3596.98000000,7495.89247500
2019-01-16 00:00:00,3597.31000000,3610.73000000,3583.50000000,3604.14000000,4392.11849400
2019-01-16 04:00:00,3604.14000000,3605.00000000,3516.62000000,3553.06000000,8567.48034600
2019-01-16 08:00:00,3553.06000000,3575.37000000,3543.51000000,3572.50000000,3210.96543200
2019-01-16 12:00:00,3572.55000000,3583.71000000,3552.25000000,3555.07000000,4070.57400500
2019-01-16 16:00:00,3556.04000000,3603.96000000,3553.96000000,3589.02000000,4318.06019300
2019-01-16 20:00:00,3589.08000000,3645.00000000,3574.93000000,3590.22000000,7027.97686900
2019-01-17 00:00:00,3591.16000000,3610.00000000,3560.20000000,3576.40000000,5476.12226700
2019-01-17 04:00:00,3576.60000000,3609.00000000,3561.81000000,3591.84000000,3376.48121100
2019-01-17 08:00:00,3591.84000000,3600.51000000,3551.16000000,3574.59000000,4305.18274300
2019-01-17 12:00:00,3574.57000000,3587.95000000,3568.16000000,3584.00000000,2850.27720900
2019-01-17 16:00:00,3583.73000000,3588.90000000,3530.39000000,3579.56000000,6117.61945900
2019-01-17 20:00:00,3580.30000000,3605.00000000,3558.87000000,3597.62000000,4964.02609500
2019-01-18 00:00:00,3597.17000000,3633.00000000,3573.00000000,3604.95000000,7268.81170200
2019-01-18 04:00:00,3604.15000000,3634.70000000,3590.00000000,3616.21000000,4249.52363000
2019-01-18 08:00:00,3613.32000000,3620.00000000,3594.35000000,3600.87000000,2482.93437400
2019-01-18 12:00:00,3600.87000000,3611.99000000,3585.70000000,3604.01000000,2847.02625300
2019-01-18 16:00:00,3604.01000000,3619.80000000,3590.00000000,3599.01000000,5612.14453800
2019-01-18 20:00:00,3599.08000000,3611.95000000,3576.68000000,3610.68000000,4770.18102000
2019-01-19 00:00:00,3611.09000000,3612.07000000,3565.75000000,3587.91000000,4494.28449800
2019-01-19 04:00:00,3588.00000000,3609.19000000,3585.98000000,3594.87000000,2506.87607200
2019-01-19 08:00:00,3594.87000000,3614.79000000,3594.23000000,3606.13000000,2529.42342000
2019-01-19 12:00:00,3605.04000000,3615.00000000,3600.72000000,3604.40000000,1663.60962300
2019-01-19 16:00:00,3604.42000000,3720.00000000,3604.01000000,3695.38000000,9061.34984600
2019-01-19 20:00:00,3695.78000000,3697.60000000,3681.84000000,3685.74000000,3300.44360200
